barcode,product_name,material_type,size,points
4806527717676,Rite N Lite - Strawberry Kiwi,CAN,,5
8996001600597,Kopiko Lucky Day - Strong And Creamy Coffee (Ready-to-Drink COFFEE),PET,SMALL,3
4806527717317,Rite N Lite - Lemon & Lime,CAN,,5
4806527717683,Rite N Lite - Watermelon + Apple,CAN,,5
9557727935890,Goodday Friz - Carbonated Cultured Milk Drink,CAN,,5
4806527717515,Rite N Lite - Cucumber,CAN,,5
4804888901284,Zesto - Calamansi Fruit Soda,CAN,,5
4804888902328,Zesto - Dalandan Fruit Soda,CAN,,5
4804888902687,Zesto - Pomelo Fruit Soda,CAN,,5
4800014277537,Nestea - Apple Flavored Green Tea Drink,PET,LARGE,4
8992696526662,Nescafe - Ice Black Coffee Drink,CAN,,5
8850952219744,Mikku - Blueberry Cultured Milk,PET,SMALL,3
8850389100691,Mogu Mogu - Strawberry,PET,SMALL,3
8850389113004,Mogu Mogu - Melon,PET,SMALL,3
8850389101391,Mogu Mogu - Grape,PET,SMALL,3
8850389106273,Mogu Mogu - Coconut,PET,SMALL,3
8850389100684,Mogu Mogu - Lychee,PET,SMALL,3
8850389100868,Mogu Mogu - Pineapple,PET,SMALL,3
4800014350537,Nestea - Lemon Flavored Tea Drink,PET,SMALL,3
4800014534234,Nestea - Lemon Ice Flavored Tea Drink,PET,LARGE,4
4800016073335,B'lue - Calamansi Flavored Drink,PET,LARGE,4
4800016073588,B'lue - Lychee Flavored Drink,PET,LARGE,4
4801981125180,Minute Maid - Nutri+ Orange 200% Vit C Juice Drink (330 mL),PET,SMALL,3
4801981120147,Minute Maid Fresh - Orange Juice Drink,PET,SMALL,3
8801056241834,Milkis - Original Flavor Milk & Yogurt (Korea's Cream Soda),PET,SMALL,3
4800014350278,Nestea - Apple Flavored Green Tea Drink,PET,SMALL,3
4800049720107,Nature's Spring Drinking Water,PET,SMALL,3
4800049720121,Nature's Spring Drinking Water,PET,LARGE,4
4800049720114,Nature's Spring Drinking Water,PET,LARGE,4
